Posted,Age,Title,Company,Location,Workplace,YOE,Salary low,Salary high,Cur,Tech,Board,Apply
2026-09-08,1,ServiceNow Junior Developer,Sun Life,"Toronto, Ontario, Canada",Hybrid,,65000,105000,CAD,"ServiceNow, JIRA, ServiceNow Studio, HTML5, Java, JavaScript, jQuery",workday,https://sunlife.wd3.myworkdayjobs.com/experienced/job/Toronto-Ontario/ServiceNow-Junior-Developer_JR00125721-1
2026-09-07,1,"Software Developer (Full-Stack, UI-Heavy)",IBM Security,"Markham, Ontario, Canada",Remote,1,92000,129000,CAD,"React, Redux, TypeScript, Go, Java, C++, Kubernetes",avature,https://careers.ibm.com/en_US/careers/JobDetail/Software-Developer-Full-Stack-UI-Heavy/131291
2026-09-04,4,Software Engineer II,Affirm,Canada,Remote,1.5,128000,188000,CAD,"Python, Kotlin, AWS, MySQL, Kubernetes",grnhse,https://job-boards.greenhouse.io/affirm/jobs/7981805003
2026-09-04,4,"Senior Manager, Software Development - Clients & Accounts",Wealthsimple,Canada or New York City,Remote,,,,,"Rails, Kotlin, React, SQL",ashby,https://jobs.ashbyhq.com/wealthsimple/eaad1bd7-75c4-4e73-a1cf-155b38d02f46
2026-09-04,5,Software Engineer - Viewer,Peripheral,"Toronto, Ontario, Canada",Onsite,,100000,150000,CAD,"Unity, Unreal Engine, CUDA, Metal, WebGPU, Vulkan, DirectX",dover,https://app.dover.com/apply/7a4a0beb-2348-4bba-88b7-3737beef63c8/2433296a-d0ca-4098-b659-5a80a10ab982
2026-09-04,5,IT Warehouse Systems Solution Expert,Procter & Gamble,"Toronto, Ontario, Canada",Onsite,,128000,160000,CAD,"C#, .NET, Java, Agile, CI/CD, Electronic Medical Records (EMR)",workday,https://pg.wd5.myworkdayjobs.com/1000/job/TORONTO-GO/IT-Warehouse-Systems-Solution-Expert_R000156588
2026-09-03,5,Backend Engineer — Real-Time Sports Data (Go / ClickHouse / AI-Native),Betstamp,"Toronto, Ontario, Canada",Hybrid,,,,,"Go, ClickHouse, Redis Streams, Redis, PostgreSQL, Echo, Kubernetes",lever,https://jobs.lever.co/Betstamp/7265b543-b0ba-437e-9e65-9059b09d5e54
2026-09-03,5,Scraping Engineer,Clera,North America or South America or Europe or Africa or Asia or Australia or Antarctica,Remote,1,,,,"TypeScript, Node.js, SQL, Puppeteer, RabbitMQ, Redis, Google Cloud Platform",ashby,https://jobs.ashbyhq.com/clera/4fdbfc98-5235-4302-af81-8b1d0e407484
2026-09-03,5,"Software Developer, Consumer Apps",Leap Tools,Canada,Remote,1,65000,115000,CAD,"TypeScript, Next.js, React, Redux, Three.js, Python, Django",gem,https://jobs.gem.com/leap-tools/am9icG9zdDpmPmEGZ8KwsUeEMFlCwQFG
2026-09-03,6,Machine Learning Developer (New or Recent Graduate),BMO,"Toronto, Ontario, Canada",Onsite,1,55500,120000,CAD,"Python, Pandas, NumPy, Scikit-learn, TensorFlow, PyTorch, AWS",workday,https://bmo.wd3.myworkdayjobs.com/campus/job/Toronto-ON-CAN/Machine-Learning-Developer--New-or-Recent-Graduate-_R260024265-1
2026-09-02,6,Full Stack Software Developer,Miovision,Canada or Kitchener,Remote,,80000,110000,CAD,"Kotlin, SQL, Python, Spring Boot, TypeScript, Apache Kafka, Docker",ashby,https://jobs.ashbyhq.com/miovision/9f7b5969-c3fa-40b6-8d4f-e8f48d888c5c
2026-09-02,7,Software Development Engineer in Test,Royal Bank of Canada,Toronto or Canada,Onsite,,,,,"Python, Java, JavaScript, Playwright, Cucumber, RestAssured, Robot Framework",workday,https://rbc.wd3.myworkdayjobs.com/rbcglobal1/job/TORONTO-Ontario-Canada/Software-Development-Engineer-in-Test_R-0000175422
2026-09-01,7,"Software Developer, Business Engineering",Caivan,"Ottawa, Ontario, Canada",Onsite,,80000,80000,CAD,"Git, Tanstack, NextJS, Vercel, SQL, PostgreSQL, .NET",adp,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=7699fc00-54cf-47fb-98a4-05348def3d0c&ccId=168187466411_6877&jobId=549704&lang=en_CA
2026-09-01,7,Frontier Engineer (Agentic_AI) - Canada,Cognizant,Mississauga or Toronto,Hybrid,,100000,100000,CAD,"Python, R, MATLAB, Java, JavaScript, TypeScript, C#",taleo_careersection,https://tas-cognizant.taleo.net/careersection/cam/jobdetail.ftl?job=47732&lang=en
